"testrun id","3","6","12","url for different ones"
"1491","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1491"
"5569","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=5569"
"2755","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2755"
"1541","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1541"
"3493","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=3493"
"1554","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1554"
"5107","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=5107"
"2760","regression","regression","good","http://graphs.mozilla.org/api/test/runs/values?id=2760"
"7473","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=7473"
"2730","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2730"
"2754","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2754"
"2767","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2767"
"1522","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1522"
"1466","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1466"
"2718","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=2718"
"1563","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1563"
"1558","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1558"
"2803","good","good","machine","http://graphs.mozilla.org/api/test/runs/values?id=2803"
"9097","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=9097"
"9829","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=9829"
"1621","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1621"
"1471","regression","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1471"
"1614","machine","machine","good","http://graphs.mozilla.org/api/test/runs/values?id=1614"
"1501","machine","good","good","http://graphs.mozilla.org/api/test/runs/values?id=1501"
