"test, platform","weekday","average"
"('tresize', 'Linux')","Friday","1.528"
"('tresize', 'Linux')","Wednesday","1.503"
"('tresize', 'Linux')","Thursday","1.306"
"('tresize', 'Linux')","Sunday","0.582"
"('tresize', 'Linux')","Saturday","0.667"
"('dromaeo_dom', 'OSX64')","Monday","248.528"
"('dromaeo_dom', 'OSX64')","Tuesday","471.864"
"('dromaeo_dom', 'OSX64')","Friday","188.598"
"('dromaeo_dom', 'OSX64')","Wednesday","164.779"
"('dromaeo_dom', 'OSX64')","Thursday","140.222"
"('dromaeo_dom', 'OSX64')","Sunday","305.209"
"('dromaeo_dom', 'OSX64')","Saturday","180.970"
"('dromaeo_dom', 'Win8')","Monday","359.851"
"('dromaeo_dom', 'Win8')","Tuesday","904.082"
"('dromaeo_dom', 'Win8')","Friday","370.320"
"('dromaeo_dom', 'Win8')","Wednesday","315.893"
"('dromaeo_dom', 'Win8')","Thursday","495.533"
"('dromaeo_dom', 'Win8')","Sunday","213.075"
"('dromaeo_dom', 'Win8')","Saturday","255.963"
"('dromaeo_dom', 'Win7')","Monday","414.504"
"('dromaeo_dom', 'Win7')","Tuesday","925.276"
"('dromaeo_dom', 'Win7')","Friday","421.480"
"('dromaeo_dom', 'Win7')","Wednesday","418.772"
"('dromaeo_dom', 'Win7')","Thursday","512.179"
"('dromaeo_dom', 'Win7')","Sunday","388.819"
"('dromaeo_dom', 'Win7')","Saturday","408.263"
"('dromaeo_dom', 'Linux64')","Monday","340.492"
"('dromaeo_dom', 'Linux64')","Tuesday","570.342"
"('dromaeo_dom', 'Linux64')","Friday","326.538"
"('dromaeo_dom', 'Linux64')","Wednesday","332.508"
"('dromaeo_dom', 'Linux64')","Thursday","327.190"
"('dromaeo_dom', 'Linux64')","Sunday","217.410"
"('dromaeo_dom', 'Linux64')","Saturday","237.857"
"('dromaeo_dom', 'OSX10.8')","Monday","929.344"
"('dromaeo_dom', 'OSX10.8')","Tuesday","1798.162"
"('dromaeo_dom', 'OSX10.8')","Friday","864.330"
"('dromaeo_dom', 'OSX10.8')","Wednesday","893.316"
"('dromaeo_dom', 'OSX10.8')","Thursday","709.683"
"('dromaeo_dom', 'OSX10.8')","Sunday","198.032"
"('dromaeo_dom', 'OSX10.8')","Saturday","251.634"
"('dromaeo_dom', 'Linux')","Monday","182.742"
"('dromaeo_dom', 'Linux')","Tuesday","445.869"
"('dromaeo_dom', 'Linux')","Friday","213.295"
"('dromaeo_dom', 'Linux')","Wednesday","240.035"
"('dromaeo_dom', 'Linux')","Thursday","222.827"
"('dromaeo_dom', 'Linux')","Sunday","170.316"
"('dromaeo_dom', 'Linux')","Saturday","151.950"
"('a11yr', 'OSX64')","Monday","39.915"
"('a11yr', 'OSX64')","Tuesday","27.329"
"('a11yr', 'OSX64')","Friday","6.631"
"('a11yr', 'OSX64')","Wednesday","6.089"
"('a11yr', 'OSX64')","Thursday","21.775"
"('a11yr', 'OSX64')","Sunday","4.822"
"('a11yr', 'OSX64')","Saturday","45.339"
"('a11yr', 'Win8')","Monday","11.072"
"('a11yr', 'Win8')","Tuesday","12.690"
"('a11yr', 'Win8')","Friday","12.255"
"('a11yr', 'Win8')","Wednesday","12.358"
"('a11yr', 'Win8')","Thursday","20.750"
"('a11yr', 'Win8')","Sunday","9.647"
"('a11yr', 'Win8')","Saturday","8.865"
"('a11yr', 'WinXP')","Monday","213.001"
"('a11yr', 'WinXP')","Tuesday","207.766"
"('a11yr', 'WinXP')","Friday","177.490"
"('a11yr', 'WinXP')","Wednesday","248.901"
"('a11yr', 'WinXP')","Thursday","172.986"
"('a11yr', 'WinXP')","Sunday","44.871"
"('a11yr', 'WinXP')","Saturday","65.048"
"('a11yr', 'Win7')","Monday","21.903"
"('a11yr', 'Win7')","Tuesday","26.248"
"('a11yr', 'Win7')","Friday","26.353"
"('a11yr', 'Win7')","Wednesday","23.879"
"('a11yr', 'Win7')","Thursday","35.385"
"('a11yr', 'Win7')","Sunday","18.000"
"('a11yr', 'Win7')","Saturday","33.059"
"('a11yr', 'Linux64')","Monday","8.394"
"('a11yr', 'Linux64')","Tuesday","9.126"
"('a11yr', 'Linux64')","Friday","7.171"
"('a11yr', 'Linux64')","Wednesday","7.089"
"('a11yr', 'Linux64')","Thursday","6.562"
"('a11yr', 'Linux64')","Sunday","4.804"
"('a11yr', 'Linux64')","Saturday","4.353"
"('a11yr', 'OSX10.8')","Monday","85.784"
"('a11yr', 'OSX10.8')","Tuesday","671.678"
"('a11yr', 'OSX10.8')","Friday","89.457"
"('a11yr', 'OSX10.8')","Wednesday","179.634"
"('a11yr', 'OSX10.8')","Thursday","264.384"
"('a11yr', 'OSX10.8')","Sunday","26.198"
